Date,Site Name,Total Gas Production,Gas Sales
12/1/2020,BARRICADE 11-7,221,221
12/2/2020,BARRICADE 11-7,218,218
12/3/2020,BARRICADE 11-7,221,221
12/4/2020,BARRICADE 11-7,230,230
12/5/2020,BARRICADE 11-7,221,221
12/6/2020,BARRICADE 11-7,220,220
12/7/2020,BARRICADE 11-7,231,231
12/8/2020,BARRICADE 11-7,217,217
12/9/2020,BARRICADE 11-7,230,230
12/10/2020,BARRICADE 11-7,222,222
12/11/2020,BARRICADE 11-7,217,217
12/12/2020,BARRICADE 11-7,229,229
12/13/2020,BARRICADE 11-7,216,216
12/14/2020,BARRICADE 11-7,231,231
12/15/2020,BARRICADE 11-7,218,218
12/16/2020,BARRICADE 11-7,219,219
12/17/2020,BARRICADE 11-7,229,229
12/18/2020,BARRICADE 11-7,217,217
12/19/2020,BARRICADE 11-7,224,224
12/20/2020,BARRICADE 11-7,214,214
12/21/2020,BARRICADE 11-7,215,215
12/22/2020,BARRICADE 11-7,228,228
12/23/2020,BARRICADE 11-7,211,211
12/24/2020,BARRICADE 11-7,222,222
12/25/2020,BARRICADE 11-7,217,217
12/26/2020,BARRICADE 11-7,212,212
12/27/2020,BARRICADE 11-7,227,227
12/28/2020,BARRICADE 11-7,213,213
12/29/2020,BARRICADE 11-7,222,222
12/30/2020,BARRICADE 11-7,193,193
12/31/2020,BARRICADE 11-7,229,229
12/1/2020,BARRICADE 14-01V,129.12,0
12/2/2020,BARRICADE 14-01V,127.95,0
12/3/2020,BARRICADE 14-01V,122.71,0
12/4/2020,BARRICADE 14-01V,129.82,0
12/5/2020,BARRICADE 14-01V,126.85,0
12/6/2020,BARRICADE 14-01V,129.42,0
12/7/2020,BARRICADE 14-01V,130.53,0
12/8/2020,BARRICADE 14-01V,128.95,0
12/9/2020,BARRICADE 14-01V,128.73,0
12/10/2020,BARRICADE 14-01V,130.96,0
12/11/2020,BARRICADE 14-01V,134.08,0
12/12/2020,BARRICADE 14-01V,145.14,0
12/13/2020,BARRICADE 14-01V,143.13,0
12/14/2020,BARRICADE 14-01V,148.03,0
12/15/2020,BARRICADE 14-01V,136.44,0
12/16/2020,BARRICADE 14-01V,137.71,0
12/17/2020,BARRICADE 14-01V,127.83,0
12/18/2020,BARRICADE 14-01V,151.96,0
12/19/2020,BARRICADE 14-01V,141.34,0
12/20/2020,BARRICADE 14-01V,148.23,0
12/21/2020,BARRICADE 14-01V,140.37,0
12/22/2020,BARRICADE 14-01V,147.53,0
12/23/2020,BARRICADE 14-01V,147.74,0
12/24/2020,BARRICADE 14-01V,128.91,0
12/25/2020,BARRICADE 14-01V,126.06,0
12/26/2020,BARRICADE 14-01V,125.3,0
12/27/2020,BARRICADE 14-01V,131.47,0
12/28/2020,BARRICADE 14-01V,132.75,0
12/29/2020,BARRICADE 14-01V,116.56,0
12/30/2020,BARRICADE 14-01V,100.46,0
12/31/2020,BARRICADE 14-01V,88.65,0
12/1/2020,BARRICADE 1496-S26-05V,174.1,174.1
12/2/2020,BARRICADE 1496-S26-05V,177.66,177.66
12/3/2020,BARRICADE 1496-S26-05V,178.23,178.23
12/4/2020,BARRICADE 1496-S26-05V,174.11,174.11
12/5/2020,BARRICADE 1496-S26-05V,173.78,173.78
12/6/2020,BARRICADE 1496-S26-05V,180.04,180.04
12/7/2020,BARRICADE 1496-S26-05V,173.07,173.07
12/8/2020,BARRICADE 1496-S26-05V,174.03,174.03
12/9/2020,BARRICADE 1496-S26-05V,179.78,179.78
12/10/2020,BARRICADE 1496-S26-05V,172.02,172.02
12/11/2020,BARRICADE 1496-S26-05V,177.47,177.47
12/12/2020,BARRICADE 1496-S26-05V,172.39,172.39
12/13/2020,BARRICADE 1496-S26-05V,130.32,130.32
12/14/2020,BARRICADE 1496-S26-05V,105.91,105.91
12/15/2020,BARRICADE 1496-S26-05V,114.33,114.33
12/16/2020,BARRICADE 1496-S26-05V,151.1,151.1
12/17/2020,BARRICADE 1496-S26-05V,190.49,190.49
12/18/2020,BARRICADE 1496-S26-05V,181.16,181.16
12/19/2020,BARRICADE 1496-S26-05V,185.32,185.32
12/20/2020,BARRICADE 1496-S26-05V,185.5,185.5
12/21/2020,BARRICADE 1496-S26-05V,181.93,181.93
12/22/2020,BARRICADE 1496-S26-05V,180.01,180.01
12/23/2020,BARRICADE 1496-S26-05V,182.07,182.07
12/24/2020,BARRICADE 1496-S26-05V,177.73,177.73
12/25/2020,BARRICADE 1496-S26-05V,169.17,169.17
12/26/2020,BARRICADE 1496-S26-05V,154.84,154.84
12/27/2020,BARRICADE 1496-S26-05V,180.66,180.66
12/28/2020,BARRICADE 1496-S26-05V,174.53,174.53
12/29/2020,BARRICADE 1496-S26-05V,89.1,89.1
12/30/2020,BARRICADE 1496-S26-05V,128.85,128.85
12/31/2020,BARRICADE 1496-S26-05V,168.79,168.79
12/1/2020,BARRICADE 1496-S26-16V,220.27,220.27
12/2/2020,BARRICADE 1496-S26-16V,216.91,216.91
12/3/2020,BARRICADE 1496-S26-16V,217.08,217.08
12/4/2020,BARRICADE 1496-S26-16V,220.06,220.06
12/5/2020,BARRICADE 1496-S26-16V,218.57,218.57
12/6/2020,BARRICADE 1496-S26-16V,218.41,218.41
12/7/2020,BARRICADE 1496-S26-16V,217.88,217.88
12/8/2020,BARRICADE 1496-S26-16V,216.34,216.34
12/9/2020,BARRICADE 1496-S26-16V,215.32,215.32
12/10/2020,BARRICADE 1496-S26-16V,215.55,215.55
12/11/2020,BARRICADE 1496-S26-16V,213.63,213.63
12/12/2020,BARRICADE 1496-S26-16V,212.65,212.65
12/13/2020,BARRICADE 1496-S26-16V,215.52,215.52
