MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/31/2020,171.3441,,,191.0011996
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/30/2020,168.7886,,,202.3246613
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/29/2020,128.8484,,,176.4419599
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/28/2020,89.09632,,,189.5767101
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/27/2020,174.5308,,,116.0914375
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/26/2020,180.6578,,,196.2460587
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/25/2020,154.8397,,,186.8886056
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/24/2020,169.1719,,,190.543754
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/23/2020,177.7283,,,175.4470273
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/22/2020,182.0652,,,181.8954617
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/21/2020,180.0141,,,182.0432733
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/20/2020,181.9319,,,179.5277069
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/19/2020,185.4966,,,185.872718
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/18/2020,185.3241,,,180.036769
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/17/2020,181.1559,,,173.8535777
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/16/2020,190.4884,,,169.5890697
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/15/2020,151.0999,,,175.7014957
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/14/2020,114.3261,,,145.9926673
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/13/2020,105.9072,,,141.4178615
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/12/2020,130.3161,,,131.4856992
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/11/2020,172.3893,,,152.9321835
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/10/2020,177.4718,,,172.8471498
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/9/2020,172.0215,,,188.513132
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/8/2020,179.7841,,,172.6896987
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/7/2020,174.0334,,,180.06715
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/6/2020,173.0719,,,181.4864732
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/5/2020,180.0403,,,173.148696
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/4/2020,173.7847,,,179.5312049
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/3/2020,174.1132,,,183.743475
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/2/2020,178.23,,,176.2340073
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,12/1/2020,177.6613,,,186.3664653
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/31/2020,45.62075,,,232.7657892
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/30/2020,17.13187,,,221.3216093
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/29/2020,68.39437,,,198.6245435
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/28/2020,58.77085,,,233.5135262
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/27/2020,212.8294,,,261.6757943
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/26/2020,211.2623,,,221.3602839
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/25/2020,215.3288,,,212.9404275
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/24/2020,215.1158,,,211.2640464
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/23/2020,220.3595,,,210.7962108
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/22/2020,213.3016,,,213.8841173
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/21/2020,212.6554,,,207.6999691
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/20/2020,222.2152,,,205.7226307
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/19/2020,211.9149,,,211.4102189
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/18/2020,214.8304,,,207.3150507
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/17/2020,218.2065,,,205.8982092
